toxic,obscene,threats,time
0.363278,0.047861226,0.005338083,1501787651
0.61856514,0.41828075,0.011312938,1510897672
0.03349016,0.003295771,2.11E-05,1512696824
0.9173344,0.8147487,0.0025027832,1490942373
0.9989525,0.98402184,0.0126641095,1468874845
0.17814718,0.008086173,0.0013128426,1484190288
0.007966022,0.00055210834,3.11E-06,1484166781
0.36885735,0.22291887,0.00074287376,1496560021
0.7870933,0.55296403,0.005847399,1494292912
0.33688393,0.34353304,6.38E-05,1512912739
0.35779992,0.15239827,0.020199787,1501086968
0.004158287,0.0006098249,2.32E-06,1493269561
0.037062492,0.008988852,0.0007334041,1493137472
0.042486593,0.0019098769,0.00089487736,1481497136
0.29649597,0.015472093,0.00022738044,1476342081
0.2905076,0.03529571,0.00790593,1475229426
0.48012656,0.32745454,0.0019385823,1524241000
0.42396894,0.044528548,0.19186783,1506737197
0.0032194178,0.0003047042,9.44E-07,1511316894
0.23927106,0.025321873,0.0013618531,1494442688
0.93528616,0.74408734,0.010885885,1498372660
0.06457618,0.00548476,2.16E-05,1493575304
0.3723807,0.061789896,0.0036449065,1475105848
0.27582237,0.029933387,0.013810026,1497238630
0.0023250566,0.00025889376,3.26E-06,1487190282
0.13845524,0.031030651,0.00014794931,1497705669
0.8772596,0.64047056,0.00076949684,1502319549
0.5479194,0.55162585,0.0014481394,1508418983
0.14510481,0.009636756,0.00031628943,1526090608
0.9988991,0.9742147,0.06979849,1506254651
0.015231582,0.0013488997,0.00045299632,1476642900
0.010099164,0.004415736,0.000941547,1500303322
0.53047234,0.31654724,0.0028843717,1501692624
0.5427374,0.33609325,0.00062511285,1491891155
0.078327775,0.0052258833,0.0005710818,1522526684
0.058236886,0.004630874,0.0009401889,1509863182
0.004138979,0.0003177695,1.41E-06,1526424359
0.97021043,0.83640003,0.02658289,1510859989
0.85339105,0.615449,0.012629783,1525292850
0.026018396,0.0017037157,3.48E-05,1526604782
0.087816775,0.007022208,0.00076607853,1518801221
0.8518716,0.6523806,0.062062502,1512873632
0.02234942,0.001777409,0.0002927774,1507188866
0.005378424,0.000343594,1.15E-06,1517284295
0.021378573,0.0018339691,0.00012579058,1509988660
0.76540416,0.52022845,0.12411489,1494498424
0.51605284,0.019271867,0.001074032,1497942932
0.99662244,0.9675818,0.010491615,1505421670
0.13742113,0.010874488,0.0045422334,1468964408
0.024764344,0.0026290019,4.41E-05,1521492517
0.9613027,0.7929424,0.053590283,1478054033
0.19473915,0.015310136,0.0068774987,1488374686
0.16483489,0.024389563,0.040605597,1499919762
0.11149804,0.0028147174,0.00017795966,1500238387
0.6780957,0.5450589,0.06070542,1504183505
0.50813407,0.10024456,0.008318158,1497764880
0.98400843,0.8995739,0.0009913137,1470601978
0.0388289,0.0017003022,0.0001286056,1509756049
0.0012032333,0.00015747455,8.90E-07,1506511098
0.0032330626,0.00041958867,8.31E-06,1476388450
0.45899615,0.40528855,0.0005380669,1477059487
0.021792289,0.0022439726,0.00048253502,1483638938
0.032322302,0.0021855785,5.40E-05,1485340429
0.00068768364,7.10E-05,1.13E-07,1501087444
0.16973306,0.016698094,0.00018053097,1515994158
0.0039163153,0.00034631003,1.58E-05,1504449686
0.79492813,0.43556124,0.005627639,1482950821
0.0039420146,0.00093808654,2.71E-07,1497147615
0.12911576,0.006956139,0.0006426944,1496833507
0.01608338,0.0032587054,1.93E-05,1515141433
0.24338786,0.12642829,0.00014416031,1514708520
0.00018744232,3.11E-05,8.70E-08,1516127377
